id,name,jurisdiction_id
18329,Garten- und Tiefbauamt Freiburg,91
3652,Finanzamt Oranienburg,3
16743,Stadt Duisburg - Umweltamt,2
9384,Landeshauptstadt Stuttgart,91
3415,Kommunalverwaltung Köln,2
50223,Zukunft – Umwelt – Gesellschaft (ZUG) gGmbH,1
14275,Agentur für Arbeit Chemnitz,1
15975,Europäisches Parlament,107
2858,Landesamt für Besoldung und Versorgung NRW,2
15587,Stadt Duisburg - Lebensmittelüberwachungsamt,2
6032,Landesamt für Zentrale Dienste,9
3921,"Senatsverwaltung für Wissenschaft, Gesundheit, Pflege und Gleichstellung",4
4847,Stadtverwaltung Pirmasens,6
44395,Freistaat Sachsen - Sächsisches Staatsministerium des Innern (Dresden OT Innere Neustadt),89
49856,Kassenärztliche Vereinigung Saarland,9
16195,Staatliches Schulamt Kassel,94
9513,Gemeinde Bad Homburg v.d. Höhe,94
16086,Eurojust,107
11212,Bayerisches Staatsministerium für Umwelt und Verbraucherschutz,92
6323,Ordnungsamt - Saarbrücken,9
18309,Rettungsdienstzweckverband Südthüringen,10
4582,Kreisverwaltung Bad Dürkheim,6
16682,Staatliches Gewerbeaufsichtsamt Göttingen,93
3742,"Ministerium für Wissenschaft, Forschung und Kultur",3
4351,Stadtverwaltung Frankfurt (Oder) - Amt für Öffentliche Ordnung  - Abteilung Veterinär- und Lebensmittelüberwachungsamt,3
8967,Landratsamt Zollernalbkreis,91
13637,Regierungspräsidium Freiburg,91
20191,Landesamt für Finanzen Mecklenburg-Vorpommern,7
15568,Oberbergischer Kreis - Veterinär- und Lebensmittelüberwachungsamt,2
48963,Stadt Hanau,94
15344,Landeshauptstadt Hannover - Gewerbe- und Veterinärangelegenheiten,93
4140,Rundfunk Berlin-Brandenburg,4
17379,Finanzgericht München,92
15491,Landratsamt Fürstenfeldbruck,92
15571,"Kreisverwaltung Rhein-Erft-Kreis - Amt für Verbraucherschutz, Veterinärwesen und Lebensmittelüberwachung",2
6172,Ministerium für Bildung und Kultur Saarland,9
3869,"Hochschule für Schauspielkunst ""Ernst Busch""",4
4842,Landeshauptstadt Mainz,6
4652,Ministerium des Innern und für Sport des Landes Rheinland-Pfalz,6
6738,"Die Senatorin für Wirtschaft, Arbeit und Europa",12
2884,Landesbetrieb Straßenbau NRW,2
90,Bundesministerium für Ernährung und Landwirtschaft,1
3038,Polizeipräsidium Wuppertal,2
3997,Der Hamburgische Beauftragte für Datenschutz und Informationsfreiheit,5
5080,HafenCity Hamburg GmbH,5
49411,Klinikum Konstanz,91
16115,Staatliches Gewerbeaufsichtsamt Hildesheim,93
7811,Landesanstalt für Medien Nordrhein-Westfalen,2
15633,Hochschule Furtwangen,91
7219,"Ministerium für Energiewende, Klimaschutz, Umwelt und Natur",11
3294,Kommunalverwaltung Dortmund,2
967,Wissenschaftlicher Beirat der Bundesregierung Globale Umweltveränderungen,1
3263,Kommunalverwaltung Düsseldorf,2
16158,Landkreis Kyffhäuserkreis,10
3450,Kommunalverwaltung Jülich,2
7767,Friedrich-Schiller-Universität Jena,10
9943,Landkreis Kassel,94
4273,Jobcenter Köln,1
3791,Amtsgericht Schöneberg,4
9786,Stadt Nidderau,94
47266,"Geschwister-Prenski-Schule, Gemeinschaftsschule mit Oberstufe der Hansestadt Lübeck in Lübeck (Lübeck, Hansestadt)",11
6522,Zentraler Kommunaler Entsorgungsbetrieb (ZKE),9
6940,Stadt Gotha,10
49298,Stadt Köln - Umwelt- und Verbraucherschutzamt,2
15551,"Stadt Würzburg - Fachbereich Verbraucherschutz, Veterinärwesen, Lebensmittelüberwachung",92
11185,Bayerischer Landtag Landtagsamt,92
352,Deutsche Rentenversicherung Bund,1
13634, Landesbetrieb für Hochwasserschutz und Wasserwirtschaft Sachsen-Anhalt (LHW),13
15996,Rat der Europäischen Union,107
16466,Kreisverwaltung Paderborn,2
16524,Polizeiinspektion Halle (Saale),13
8935,Landratsamt Böblingen,91
6934,Stadt Eisenberg,10
9958,Vogelsbergkreis,94
3461,Kommunalverwaltung Herzogenrath,2
5014,Verbandsgemeindeverwaltung Westerburg,6
3240,Kommunalverwaltung Rietberg,2
10900,"Sächsisches Staatsministerium für Wissenschaft, Kultur und Tourismus",89
15331,Landkreis Heidekreis - Fachbereich Veterinärwesen und Verbraucherschutz,93
3735,Ministerium der Justiz Brandenburg,3
15627,Kreisfreie Stadt Osnabrück,93
11179,Bayerische Staatskanzlei,92
17839,"Stadt Karlsruhe Ordnungs- und Bürgeramt, Ausländerbehörde",91
15316,Stadt Trier - Ordnungsamt,6
15452,Veterinär- und Lebensmittelaufsichtsamt Reinickendorf,4
9440,Stadtkämmerei Stuttgart Stadt Stuttgart,91
6805,Stadtverwaltung Nürnberg,92
14337,Agentur für Arbeit Meschede – Soest,1
118,Bundesrat,1
281,Bundesamt für Wirtschaft und Ausfuhrkontrolle,1
16186,Staatliches Schulamt Bebra,94
7458,Landesbeauftragter für den Datenschutz Sachsen-Anhalt,13
4657,"Ministerium für Wirtschaft, Verkehr, Landwirtschaft und Weinbau",6
49257,Feuerwehr Düsseldorf,2
2861,Landesamt für Zentrale Polizeiliche Dienste,2
266,Bundesamt für Bevölkerungsschutz und Katastrophenhilfe,1
9125,Staatsministerium Baden-Württemberg,91
4016,Senatskanzlei Hamburg,5
8853,Ministerium der Justiz und für Migration Baden-Württemberg,91
9375,Stadt Sindelfingen,91
7782,Mitteldeutscher Rundfunk,89
6916,Landkreis Saalfeld-Rudolstadt,10
18156,LBBW Landesbank Baden-Württemberg,91
9026,Regierungspräsidium Tübingen,91
3100,Sozialgericht Köln,2
18238,Behörde für Verkehr und Mobilitätswende,5
3795,Amtsgericht Wedding,4
17062,Oberlandesgericht München,92
50015,Ministerium für Infrastruktur und Digitales Sachsen-Anhalt,13
15448,Ordnungsamt Marzahn-Hellersdorf,4
7867,Amtsgericht Konstanz,91
7879,Amtsgericht Mosbach,91
7893,Amtsgericht Ravensburg,91
18010,Ausländeramt Stadt Köln,2
15343,Landkreis Peine - Fachdienst Veterinärwesen und Lebensmittelüberwachung,93
120,Bundesrechtsanwaltskammer,1
50245,"Landesamt für Soziales, Jugend und Versorgung, Schiedsstelle nach §78g SGB VIII",6
15855,Immobilien-Management Duisburg,2
50322,Stadt Osnabrück - Fachbereich Geodaten und Verkehrsanlagen,93
4583,Kreisverwaltung Bad Kreuznach,6
6175,"Ministerium für Inneres, Bauen und Sport Saarland",9
4115,Tiefbauamt Berlin-Steglitz-Zehlendorf,4
12888,Sächsische Datenschutz- und Transparenzbeauftragte,89
15288,Kreisverwaltung Alzey-Worms - Veterinäramt,6
12869,Stadt Suhl,10
9801,Offenbach am Main,94
9948,Main-Taunus-Kreis,94
15189,Landeswahlleitung Bremen,12
15425,Landkreis Rastatt - Amt für Veterinärwesen und Lebensmittelüberwachung,91
4991,Verbandsgemeindeverwaltung Simmern-Rheinböllen,6
